epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.8672546635974537,0.7255608692313685,0.0016703920725555663,0.43883744965900073,0.24368991815682614,0.0,0.5183333333333333,0.5920758928571428,0.4996525051679764,0.000134920066832847,0.3670274317264557,0.5525518655776978,0.4041697680950165,0.06960146129131317,0.8125,0.8666666666666667,0.23214285714285715,0.36619718309859156,0.9455551242236025,0.1875,0.0,0.6666666666666666,42,0,42
2,0.8369175854957465,0.7050891392158739,0.010602530973935218,0.3740237888061639,0.23076390745964917,0.0,0.5483333333333333,0.6105301339285715,0.49873462269178415,0.00015820694269760597,0.2875156104564667,0.5508809685707092,0.3455011248588562,0.12825621664524078,0.7958333333333333,1.0,0.125,0.2222222222222222,0.9470108695652174,0.20416666666666666,0.0,1.0,50,0,50
3,0.8197754775032853,0.6973145658319647,0.024720678980829136,0.32157960850181,0.21339703328681714,0.0,0.5933333333333334,0.6428571428571428,0.4966700527224257,0.0001860534543855906,0.21858133375644684,0.5974774360656738,0.2990425229072571,0.17522744834423065,0.7958333333333333,1.0,0.125,0.2222222222222222,0.9374029503105591,0.20416666666666666,0.0,1.0,50,0,50
4,0.8005311760035428,0.6863957210020586,0.040772834341182854,0.2807095615249692,0.1947748363018036,0.0,0.6233333333333333,0.6710156249999999,0.49271076025978444,0.00022900284481390068,0.16401031613349915,0.6529161334037781,0.26508310437202454,0.21153616905212402,0.8083333333333333,1.0,0.17857142857142858,0.30303030303030304,0.90527950310559,0.19166666666666668,0.0,1.0,47,0,47
5,0.7825224417628664,0.6744065329884038,0.054691809991543945,0.2556608107053872,0.1790286467382402,0.0,0.63,0.6738058035714285,0.48404023170061944,0.0003437746907531453,0.1224157065153122,0.7128577828407288,0.24823002517223358,0.23384685814380646,0.8166666666666667,0.9285714285714286,0.23214285714285715,0.37142857142857144,0.8660714285714286,0.18333333333333332,0.0,1.0,45,1,44
6,0.7548408011595408,0.6503674658862028,0.06455843263503278,0.24414697334621893,0.1678673694982673,0.0,0.6383333333333333,0.6730357142857143,0.4773663584875211,0.0005650375969707966,0.09624963253736496,0.7858051061630249,0.24050404131412506,0.24694083631038666,0.8125,0.8235294117647058,0.25,0.3835616438356164,0.8549107142857143,0.1875,0.0,0.8333333333333334,44,2,42
7,0.7343183900370742,0.6321794833197738,0.07054046033458276,0.2368319063927188,0.16086905291586212,0.002019388874831555,0.6433333333333333,0.6798214285714286,0.475381851454117,0.0007359908653818296,0.08260027319192886,0.827007532119751,0.23368524014949799,0.2559533715248108,0.8125,0.8235294117647058,0.25,0.3835616438356164,0.8665566770186335,0.1875,0.0,0.8333333333333334,44,2,42
8,0.726243277390798,0.6258864357615962,0.07479645029613466,0.23136127830454797,0.1556535731210853,0.007575140736827796,0.6483333333333333,0.6832254464285714,0.4742385778735878,0.0009084675499858955,0.07375354319810867,0.8640629053115845,0.22913627326488495,0.26253601908683777,0.8083333333333333,0.8125,0.23214285714285715,0.3611111111111111,0.8874223602484472,0.19166666666666668,0.0,0.8333333333333334,45,2,43
9,0.7164479394753774,0.6175027579972239,0.07808816162022678,0.22747172370101465,0.15145094512086926,0.011547128740472324,0.6583333333333333,0.6871986607142857,0.472063958172078,0.001023766438293299,0.06443387269973755,0.8975862860679626,0.22551581263542175,0.2681819200515747,0.8208333333333333,0.8823529411764706,0.26785714285714285,0.410958904109589,0.9012034161490683,0.17916666666666667,0.0,0.8333333333333334,42,1,41
10,0.7164379105423436,0.6189920559073939,0.08167705809076627,0.2234559806458878,0.14691211463827075,0.013939802760653423,0.6466666666666666,0.6863169642857143,0.4740493646867687,0.0010768380642261807,0.05404815822839737,0.9203624129295349,0.2227131724357605,0.2727261483669281,0.8291666666666667,0.8947368421052632,0.30357142857142855,0.4533333333333333,0.9105201863354037,0.17083333333333334,0.0,0.8333333333333334,40,1,39
