epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,1.0034001803759374,0.7256500043652274,0.0020140111908431486,0.43489553260080743,0.24345515329729428,0.0,0.5066666666666667,0.5883203125,0.4997407072418465,0.00032650346640201116,0.36886996030807495,0.47991257905960083,0.396145761013031,0.07760421186685562,0.7666666666666667,0.0,0.0,0.0,0.9477872670807453,0.23333333333333334,0.0,1.0,57,0,57
2,0.9594619644410682,0.7057870888348782,0.012872337765822356,0.3620504633043752,0.22889385530442902,0.0,0.54,0.5977901785714286,0.4992095211036645,0.0002946678600203472,0.29632842540740967,0.43010905385017395,0.32916831970214844,0.14458170533180237,0.7666666666666667,0.0,0.0,0.0,0.9523486024844721,0.23333333333333334,0.0,1.0,57,0,57
3,0.9331395309982877,0.6995112724376448,0.030161507597023792,0.30116939680142835,0.20863421306465613,0.0,0.5866666666666667,0.6159263392857144,0.4981961667554984,0.0002727810457475822,0.23430845141410828,0.39798399806022644,0.27436599135398865,0.1993839591741562,0.7666666666666667,0.0,0.0,0.0,0.9476902173913043,0.23333333333333334,0.0,1.0,57,0,57
4,0.9099156621730689,0.6925102174282074,0.049760740024573875,0.2517978352579204,0.18668273971839386,0.0,0.605,0.6415178571428571,0.49700320523435393,0.00025554103635703075,0.18420319259166718,0.37760287523269653,0.23093542456626892,0.2428145557641983,0.7666666666666667,0.0,0.0,0.0,0.9423524844720497,0.23333333333333334,0.0,1.0,57,0,57
5,0.895771945064718,0.6905657387141025,0.0679293479205984,0.21470122626333527,0.1667303569389112,0.0,0.59,0.6621874999999999,0.49394362951583,0.00026412061164261434,0.1440925896167755,0.3871512711048126,0.19955672323703766,0.27419325709342957,0.7666666666666667,0.0,0.0,0.0,0.9196428571428572,0.23333333333333334,0.0,1.0,57,0,57
6,0.8775203309275887,0.680822185494683,0.08262214154908151,0.18897317711151007,0.15072149535020193,0.0,0.6233333333333333,0.6699441964285714,0.48954077182940703,0.000313845863936215,0.11321476101875305,0.42774873971939087,0.17959342896938324,0.294156551361084,0.7666666666666667,0.0,0.0,0.0,0.8687888198757764,0.23333333333333334,0.0,1.0,57,0,57
7,0.8532926033843647,0.6618473746559836,0.09279271610306972,0.17329410170063828,0.1396356069228866,0.005009462118158064,0.625,0.6675,0.4824023424648373,0.00043817775484499043,0.08907976001501083,0.47712481021881104,0.16829313337802887,0.30545684695243835,0.7666666666666667,0.0,0.0,0.0,0.8363742236024845,0.23333333333333334,0.0,1.0,57,0,57
8,0.8366717506538738,0.6482638797976754,0.09909406281781918,0.16456226665865292,0.13263791077064746,0.024388585324314507,0.625,0.6691741071428571,0.47913379303361975,0.0006627424657133154,0.07118355482816696,0.4943212568759918,0.16091391444206238,0.31283608078956604,0.7666666666666667,0.0,0.0,0.0,0.8391886645962734,0.23333333333333334,0.0,1.0,57,0,57
9,0.8259451714428988,0.639967452396046,0.10364916243336418,0.15768203816630624,0.1274726844646714,0.037639743450916176,0.64,0.6768526785714286,0.4752625436637379,0.0008364587036229557,0.06158250942826271,0.5027682781219482,0.15456601977348328,0.31918397545814514,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.8559782608695652,0.22916666666666666,0.0,1.0,56,0,56
10,0.8254627666690133,0.6415757717508258,0.10728289886857524,0.15196449061234793,0.12321317861929085,0.04562580421792738,0.65,0.6775334821428572,0.47563137371600656,0.0009331440149143225,0.05680498108267784,0.5062859058380127,0.15046024322509766,0.32328975200653076,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.8684976708074535,0.22916666666666666,0.0,1.0,56,0,56
11,0.8201777176423506,0.6375774885668899,0.10946059475342433,0.14876728595206232,0.12048947122512442,0.05011277544227513,0.6583333333333333,0.6806249999999999,0.47394199776595125,0.0010853818164446927,0.0528215616941452,0.5052392482757568,0.14721673727035522,0.3265332579612732,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.8803377329192547,0.22916666666666666,0.0,1.0,56,0,56
12,0.8088034156597022,0.6272549575025385,0.11140190990585269,0.14626946751818512,0.11804410160490961,0.05060237956543764,0.6566666666666666,0.6833035714285715,0.4742149839054501,0.0011934479134100857,0.05137249454855919,0.5214875340461731,0.14556604623794556,0.32818394899368286,0.775,1.0,0.03571428571428571,0.06896551724137931,0.8945069875776397,0.225,0.0,1.0,55,0,55
13,0.8030031449867018,0.6222970937237595,0.11292367959112833,0.14456827058033508,0.11596892683795004,0.04963866886541699,0.65,0.6843415178571428,0.47248734311375074,0.0012546987034676765,0.04756704345345497,0.6136627197265625,0.14372745156288147,0.3305530548095703,0.775,1.0,0.03571428571428571,0.06896551724137931,0.9050854037267081,0.225,0.0,1.0,55,0,55
14,0.8009592159227892,0.6208642694083127,0.11435773754210184,0.143528807795409,0.11403610083189877,0.04868776768897519,0.6483333333333333,0.6854799107142857,0.4737428112454173,0.0013906622524232123,0.0466330349445343,0.6887075901031494,0.14327217638492584,0.33163371682167053,0.7833333333333333,1.0,0.07142857142857142,0.13333333333333333,0.9138198757763976,0.21666666666666667,0.0,1.0,53,0,53
