mode,model_mode,description,lambda_q,lambda_sparse,lambda_binary,lambda_coverage,valid_acc,valid_auc,valid_f1,valid_rmse,valid_bce,test_acc,test_auc,test_f1,test_rmse,test_bce,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,q_change_from_expert,q_change_0_to_1,q_change_1_to_0,q_density,best_epoch,result_dir
fixed-expert-q,fixed-noisy-q,Expert Q fixed; no Q learning.,0.0,0.0,0.0,0.0,0.7331907816583512,0.819082454624502,0.7089919668307851,0.4141105194637049,0.5078491105789907,0.7302209550962224,0.8151305231938786,0.6956987806512126,0.4154811983490232,0.5095087255022428,1.0,1.0,1.0,1.0,1.0,0.0,0,0,0,0.30454545454545456,4,Q_GNCDM\results\math1_real\fixed-expert-q
default-weak-q,weak-q,Current code default weak-q setting.,0.01,0.0,0.0,0.01,0.7460204324067474,0.8370094984258484,0.7183135704874836,0.4055883850927541,0.4869723294227778,0.7387146590639107,0.8277019403680388,0.6996654605038575,0.41086211983818577,0.49682628885390756,0.6318181818181818,0.43,0.6417910447761194,0.5149700598802395,0.6774948785484343,0.36818181818181817,81,57,24,0.45454545454545453,20,Q_GNCDM\results\math1_real\default-weak-q
free-q,free-q,Q learned freely from response data.,0.0,0.0,0.0,0.01,0.7455452601568069,0.8367765946546997,0.7143238196852494,0.40581833551025376,0.48682392588116574,0.7365763839391779,0.8276549947220991,0.6930158510417388,0.4105674251454857,0.495257857065428,0.4818181818181818,0.32061068702290074,0.6268656716417911,0.42424242424242425,0.5367281240854551,0.5181818181818182,114,89,25,0.5954545454545455,15,Q_GNCDM\results\math1_real\free-q
balanced-synth-best,weak-q,Synthetic balanced setting: keeps Q agreement while improving response.,0.2,0.05,0.8,0.0,0.7483962936564504,0.8336142548657364,0.7301223241590215,0.40750513789188575,0.49809919378975864,0.7369327631266334,0.8252607451152842,0.7086375896322611,0.4104218751782624,0.5018637286095777,0.8272727272727273,0.7301587301587301,0.6865671641791045,0.7076923076923077,0.907911423275778,0.17272727272727273,38,17,21,0.2863636363636364,3,Q_GNCDM\results\math1_real\balanced-synth-best
light-tradeoff,weak-q,Slightly more response-oriented than balanced setting.,0.3,0.05,0.8,0.0,0.7442385364694701,0.8329156579029822,0.7210778598264024,0.4089248361326451,0.49816617481479064,0.7372891423140888,0.823784040612107,0.7047987719415337,0.4135761121895552,0.5057463537265434,0.9272727272727272,0.9322033898305084,0.8208955223880597,0.873015873015873,0.9759047897766071,0.07272727272727272,16,4,12,0.2681818181818182,5,Q_GNCDM\results\math1_real\light-tradeoff
aggressive-tradeoff,weak-q,More aggressive Q adjustment setting from synthetic sweep.,0.8,0.2,0.8,0.0,0.7510097410311238,0.8383024616959487,0.73734335839599,0.40556332542387624,0.49422005487337384,0.7433475885008316,0.832123850485202,0.7199066571595255,0.40664904883823505,0.4948665683538063,0.8227272727272728,0.9117647058823529,0.4626865671641791,0.6138613861386139,0.8047019802946053,0.17727272727272728,39,3,36,0.15454545454545454,3,Q_GNCDM\results\math1_real\aggressive-tradeoff
acc-synth-best,weak-q,Synthetic response-accuracy best setting.,0.7,0.6,0.4,0.0,0.7443573295319553,0.8394168663610911,0.7324048744093509,0.4032279188350426,0.48459641219573074,0.7420408648134948,0.8349855923588752,0.722048,0.40404657659725046,0.48447886529076745,0.6909090909090909,0.0,0.0,0.0,0.8185542873865964,0.3090909090909091,68,1,67,0.004545454545454545,6,Q_GNCDM\results\math1_real\acc-synth-best
