epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.9412079679243492,0.7255045374234518,0.001503773239156117,0.441641906897227,0.2435522788401806,0.0,0.525,0.5930245535714286,0.4996072797174597,0.00014089210515411457,0.3684871792793274,0.5734814405441284,0.41155585646629333,0.06288398802280426,0.95,0.9074074074074074,0.875,0.8909090909090909,0.9500194099378881,0.05,0.0,0.16666666666666666,3,0,3
2,0.9116587684010015,0.7045628311056079,0.00874995832529032,0.3882476795803417,0.23163742888154407,0.0,0.5583333333333333,0.6110491071428571,0.4984973052188135,0.0001473784065059259,0.29499006271362305,0.6044067740440369,0.3675127923488617,0.10941331088542938,0.8958333333333334,0.918918918918919,0.6071428571428571,0.7311827956989247,0.9509899068322981,0.10416666666666667,0.0,0.5,20,0,20
3,0.8964171256079818,0.6956624758966041,0.019000713812243757,0.3516937385905873,0.21754967737378497,0.0,0.5883333333333334,0.6383258928571429,0.4958621990619926,0.00017248528478596586,0.23014074563980103,0.6505318880081177,0.33759406208992004,0.14545191824436188,0.8916666666666667,0.8947368421052632,0.6071428571428571,0.723404255319149,0.9497282608695652,0.10833333333333334,0.0,0.3333333333333333,19,0,19
4,0.8774827944509911,0.6813255431074084,0.03000852657538472,0.3272389439922391,0.2034677036783912,0.0,0.6183333333333333,0.6627343750000001,0.4900491383126513,0.00023343100231916955,0.17665165662765503,0.7213597893714905,0.3198530972003937,0.17329339683055878,0.9083333333333333,0.925,0.6607142857142857,0.7708333333333334,0.9445846273291926,0.09166666666666666,0.0,0.5,17,0,17
5,0.8547640370600151,0.661129765438311,0.03942178776769927,0.3172057334220771,0.1918834944566091,0.0,0.63,0.6693080357142857,0.4803540634682596,0.00040226836537123853,0.13463687896728516,0.7888731956481934,0.31597021222114563,0.19202683866024017,0.9125,0.9069767441860465,0.6964285714285714,0.7878787878787878,0.9372088509316769,0.0875,0.0,0.5,16,1,15
6,0.8248085957584959,0.6325315282200322,0.046965722728407745,0.3147699756152702,0.18274865705858578,0.0,0.6416666666666667,0.6779241071428571,0.47494759700456946,0.0006615048628053487,0.11068861931562424,0.8301099538803101,0.3131823241710663,0.20694749057292938,0.9083333333333333,0.8695652173913043,0.7142857142857143,0.7843137254901961,0.938373447204969,0.09166666666666666,0.0,0.3333333333333333,15,2,13
7,0.8052170999122389,0.6142897253686731,0.05256861262023449,0.31083612550388684,0.17577961538777206,0.0,0.6483333333333333,0.6860825892857143,0.4735528456710708,0.000796409991435763,0.09925288707017899,0.8499802350997925,0.30831068754196167,0.21903198957443237,0.9166666666666666,0.875,0.75,0.8076923076923077,0.9439052795031057,0.08333333333333333,0.0,0.3333333333333333,13,2,11
8,0.7959985733032227,0.6065083534428568,0.058371846197229446,0.3058582643667857,0.16863444515249945,0.0,0.65,0.6861830357142857,0.4740500918381585,0.000922845750623806,0.0909840315580368,0.8736395239830017,0.30310121178627014,0.23145653307437897,0.9166666666666666,0.875,0.75,0.8076923076923077,0.9506017080745341,0.08333333333333333,0.0,0.3333333333333333,13,2,11
9,0.7861651489228914,0.5980484819773472,0.06393685310401699,0.300608827309175,0.1618571285948609,0.0,0.6466666666666666,0.6899665178571429,0.47282684588947566,0.0009810359263087087,0.0847565084695816,0.8948695063591003,0.2976086735725403,0.2426149696111679,0.925,0.8958333333333334,0.7678571428571429,0.8269230769230769,0.953998447204969,0.075,0.0,0.5,13,2,11
10,0.7859543291005221,0.5993133625297835,0.0698722932826389,0.29434398448828497,0.15470852228728207,0.0,0.65,0.6893973214285715,0.4746845301755578,0.0009890379239522824,0.07269295305013657,0.9112487435340881,0.29233548045158386,0.25370025634765625,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9564246894409937,0.07083333333333333,0.0,0.5,12,1,11
11,0.7802160562890949,0.594767077402635,0.0752160061489452,0.2897260888959422,0.14832166762966098,0.0,0.6566666666666666,0.6893080357142857,0.47322918577683387,0.0010530383028019446,0.0601939857006073,0.9243890643119812,0.287031352519989,0.2633218467235565,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9580745341614907,0.07083333333333333,0.0,0.5,12,1,11
12,0.766685297091802,0.5823729679440007,0.0802224109118635,0.2847125336076274,0.1424076992905501,0.0,0.65,0.6894754464285715,0.47504979417235393,0.0010777285611821394,0.05010877549648285,0.9347515106201172,0.2823466956615448,0.272160142660141,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9595302795031055,0.07083333333333333,0.0,0.5,12,1,11
13,0.7601436367540648,0.5770057489474615,0.08528536253354767,0.2796231521801515,0.13639402931386774,0.0,0.65,0.6896875,0.4742404227860108,0.0010840976751889243,0.041872262954711914,0.9416823387145996,0.2766934335231781,0.281554639339447,0.9333333333333333,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9605978260869565,0.06666666666666667,0.0,0.5,11,1,10
14,0.7564669621713234,0.574401827472629,0.0902053735247164,0.2746471410447901,0.13065237642237634,0.0,0.645,0.6907533482142857,0.47536017910254974,0.0011131861776282842,0.035858944058418274,0.9489742517471313,0.27257615327835083,0.2894272804260254,0.9375,0.9183673469387755,0.8035714285714286,0.8571428571428571,0.9625388198757764,0.0625,0.0,0.5,10,1,9
15,0.7473282497940641,0.5661807985919894,0.09462116771575177,0.2703706947239963,0.1255365154056838,0.0,0.6466666666666666,0.693002232142857,0.4755586175685586,0.0011293184573084793,0.031017335131764412,0.9529187679290771,0.2682550549507141,0.29686349630355835,0.9375,0.9183673469387755,0.8035714285714286,0.8571428571428571,0.9631211180124224,0.0625,0.0,0.5,10,1,9
16,0.7451929847399393,0.5649305496251944,0.09885868418848875,0.2663177400827408,0.1206136875306115,0.0,0.6483333333333333,0.6936830357142857,0.4756546740945902,0.001225818915179733,0.026635218411684036,0.9578583240509033,0.26418861746788025,0.30374622344970703,0.9333333333333333,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.9640916149068322,0.06666666666666667,0.0,0.5,11,1,10
17,0.7363389784639532,0.5569266527891159,0.10279814650615056,0.2622247970465458,0.11604449559341777,0.0,0.6416666666666667,0.6914285714285714,0.476596790556361,0.0011717832980635153,0.023631878197193146,0.961505651473999,0.26027101278305054,0.3102356791496277,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9638004658385093,0.07083333333333333,0.0,0.5,12,1,11
18,0.7265311750498685,0.5478770994778835,0.10645116131865617,0.2586705151832465,0.1118160043701981,0.0,0.6533333333333333,0.6926450892857142,0.47649007184037634,0.0012058007802503805,0.020892109721899033,0.963726818561554,0.25672879815101624,0.3159171938896179,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9646739130434783,0.07083333333333333,0.0,0.5,12,1,11
19,0.7220989510868535,0.5441701150301731,0.10984993376063579,0.2548089013858275,0.107932858394854,0.0,0.6466666666666666,0.6948883928571429,0.47724747543756135,0.0012289464489599181,0.018663115799427032,0.9661853909492493,0.2533426582813263,0.3209303319454193,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9646739130434783,0.07083333333333333,0.0,0.5,12,1,11
20,0.715182184269934,0.5378952848188805,0.11300174835504907,0.25156269267652975,0.10432772801229448,0.0,0.6383333333333333,0.6961941964285714,0.4768468097715604,0.001309949849118394,0.016737153753638268,0.9679701924324036,0.2497052252292633,0.32597172260284424,0.9291666666666667,0.9148936170212766,0.7678571428571429,0.8349514563106796,0.9652562111801242,0.07083333333333333,0.0,0.5,12,1,11
21,0.7062631655823101,0.5296111174605109,0.11610799395676816,0.24812955273823303,0.10080500556664033,0.0,0.6566666666666666,0.6982924107142856,0.4776795836272491,0.0012504570785853448,0.015094079077243805,0.9696970582008362,0.2465456873178482,0.3304452896118164,0.9291666666666667,0.9333333333333333,0.75,0.8316831683168316,0.9662267080745341,0.07083333333333333,0.0,0.5,12,0,12
22,0.7013673962968768,0.5253070172938433,0.1189782154379469,0.2451045966961167,0.09752167467818115,0.0,0.6366666666666667,0.6982366071428572,0.47746242340400713,0.001315752190721193,0.013632461428642273,0.9708032608032227,0.24365155398845673,0.3344516456127167,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9670031055900621,0.075,0.0,0.5,13,0,13
23,0.6954030548081254,0.5198513955780955,0.12152367277127324,0.24228647577040124,0.0946520608708714,0.0,0.64,0.6937834821428571,0.48005659740614137,0.0012877477759805818,0.012450966984033585,0.9726295471191406,0.24079547822475433,0.33854714035987854,0.925,0.9318181818181818,0.7321428571428571,0.82,0.967682453416149,0.075,0.0,0.5,13,0,13
24,0.685723701209733,0.5107044541474545,0.12415325844829733,0.23941929390033087,0.09167148116411585,0.0,0.6383333333333333,0.6957589285714285,0.4804421077745269,0.0013018849669165459,0.0114620141685009,0.9739453792572021,0.23804312944412231,0.3424585461616516,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.967876552795031,0.07916666666666666,0.0,0.5,14,0,14
25,0.6828396121660868,0.5082863406701521,0.12662144073031165,0.23676496157140442,0.08891681389826717,0.0,0.6466666666666666,0.6975334821428572,0.48064820102897954,0.001363838226428594,0.010659895837306976,0.9748989939689636,0.2355169951915741,0.3460606336593628,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9679736024844721,0.07916666666666666,0.0,0.5,14,0,14
26,0.6789488729202386,0.5048137388446114,0.12876742739569058,0.2341400899670341,0.0865484658967365,0.0,0.635,0.6958482142857143,0.4809362276556727,0.0012970393687613648,0.009738724678754807,0.9753840565681458,0.23302437365055084,0.3493519127368927,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9691381987577641,0.07916666666666666,0.0,0.5,14,0,14
27,0.6740316486719883,0.5002748672709321,0.13078948200652094,0.23201893518368402,0.08428893114129703,0.0,0.6433333333333333,0.6941517857142856,0.4841319129731074,0.0013059411660034323,0.008973764255642891,0.9765102863311768,0.23104901611804962,0.3522779047489166,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9695263975155279,0.07916666666666666,0.0,0.5,14,0,14
28,0.6756879994363496,0.5023073242469267,0.13274873702815085,0.22989998012781143,0.08209509526689847,0.0,0.6316666666666667,0.6949330357142857,0.4829048130478601,0.0013531764985104514,0.008370988070964813,0.9776027798652649,0.2287210077047348,0.3551660180091858,0.925,0.9318181818181818,0.7321428571428571,0.82,0.969817546583851,0.075,0.0,0.5,13,0,13
29,0.670379635962573,0.4973681632316474,0.13462180441076105,0.2276937212004806,0.0800097728091659,0.0,0.6366666666666667,0.6971205357142858,0.4819959434516023,0.0013023902288158283,0.007965019904077053,0.9789156317710876,0.22678251564502716,0.3574933707714081,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9703027950310559,0.075,0.0,0.5,13,0,13
30,0.6660101467912848,0.4933149421756918,0.1362961810646635,0.22581575472246518,0.07815186668074492,0.0,0.6383333333333333,0.6983147321428571,0.4831851750029262,0.001340435452716933,0.007471073884516954,0.9800307154655457,0.2249491661787033,0.35979366302490234,0.925,0.9318181818181818,0.7321428571428571,0.82,0.97069099378882,0.075,0.0,0.5,13,0,13
31,0.6600536026737907,0.4876405303225373,0.13776409129301706,0.2240621932979786,0.07653141145904858,0.0,0.64,0.6984040178571429,0.48290790036200343,0.0013066349819189672,0.007008356973528862,0.9807891249656677,0.22325029969215393,0.3619256913661957,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9719526397515528,0.075,0.0,0.5,13,0,13
32,0.6598757866657141,0.4877678214600592,0.1394260950160749,0.22212409589326743,0.07471042894052737,0.0,0.6466666666666666,0.7017075892857143,0.48237221121442614,0.0013199550122601177,0.006580684799700975,0.9816754460334778,0.2214186042547226,0.3642369508743286,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9719526397515528,0.075,0.0,0.5,13,0,13
33,0.6558905090346481,0.4840228593710697,0.14072894824273657,0.2205825944741567,0.07328447123820131,0.0,0.635,0.6973102678571429,0.48270965252504483,0.001294010817108563,0.006211765110492706,0.9823129773139954,0.2195429652929306,0.3662857711315155,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9725349378881987,0.075,0.0,0.5,13,0,13
34,0.6571893095970154,0.4855906967863892,0.1420353680397525,0.21889239978609662,0.07183517696279468,0.0,0.6383333333333333,0.6979352678571429,0.4814955424866118,0.0012802548704767655,0.005816702265292406,0.9832239151000977,0.2180330604314804,0.3679274022579193,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9723408385093167,0.075,0.0,0.5,13,0,13
35,0.6579060148109089,0.48655381753589166,0.14327678377881195,0.2172420767672134,0.07047748825315273,0.0,0.6416666666666667,0.7013727678571428,0.47942847304180414,0.0012907309380049508,0.005516306031495333,0.983613133430481,0.21637967228889465,0.3696592450141907,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9733113354037268,0.075,0.0,0.5,13,0,13
36,0.6506060605699365,0.4794575562982848,0.14446982380115625,0.21589154479178516,0.06918638346321655,0.0,0.6366666666666667,0.6990513392857142,0.4807557444069306,0.0012944791965172485,0.005251948721706867,0.9843448996543884,0.21523088216781616,0.37102505564689636,0.925,0.9318181818181818,0.7321428571428571,0.82,0.9736995341614906,0.075,0.0,0.5,13,0,13
37,0.648409285328605,0.47745105488733813,0.14551253978050116,0.2145117519028259,0.06806897451028679,0.0,0.64,0.6992075892857141,0.4821413590891517,0.0012671830296643418,0.004965707194060087,0.9846628904342651,0.21380741894245148,0.37242910265922546,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9739906832298135,0.07916666666666666,0.0,0.5,14,0,14
38,0.6406765395041668,0.469941442211469,0.14657039962934726,0.21300054025469403,0.06690823873787215,0.0,0.6383333333333333,0.6995870535714286,0.48256191612921023,0.0012861625212033025,0.0047311638481915,0.9854851365089417,0.21229709684848785,0.3737538158893585,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9748641304347825,0.07916666666666666,0.0,0.5,14,0,14
39,0.6426734517921101,0.4721257849173112,0.14757637521534256,0.21155940041397558,0.06584038551558148,0.0,0.6383333333333333,0.7012276785714285,0.48105033903407685,0.0012696885422690575,0.004493934102356434,0.9861907958984375,0.2108890265226364,0.3749048113822937,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9746700310559007,0.07916666666666666,0.0,0.5,14,0,14
40,0.641088762066581,0.4707128193342324,0.1485107775890466,0.21034160956288828,0.06483462385155937,0.0,0.635,0.6997209821428572,0.4818441378888988,0.0012696641903003733,0.004275667946785688,0.9867421984672546,0.2096731960773468,0.37591037154197693,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9747670807453416,0.07916666666666666,0.0,0.5,14,0,14
41,0.6364377068750786,0.4662503053744634,0.14947028412963403,0.2089506211605939,0.06380449167706749,0.0,0.6333333333333333,0.7000111607142856,0.4842203205166148,0.0012513546089669971,0.004101921338587999,0.9871167540550232,0.20838528871536255,0.37701162695884705,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9749611801242236,0.07916666666666666,0.0,0.5,14,0,14
42,0.6391782796744144,0.4691450546185176,0.1502598397659533,0.20776805371949167,0.06296361689314697,0.0,0.6366666666666667,0.6997321428571428,0.4825695897163963,0.0013226771526123312,0.0038974706549197435,0.987481415271759,0.2069758027791977,0.3779309391975403,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9750582298136645,0.07916666666666666,0.0,0.5,14,0,14
43,0.6347057792273435,0.4648422513044242,0.15115731638489346,0.2064242141716408,0.06201569199787848,0.0,0.6333333333333333,0.7012165178571428,0.48337988232808204,0.0013066084542184728,0.00372741324827075,0.988009512424469,0.2057420164346695,0.3789359927177429,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9749611801242235,0.07916666666666666,0.0,0.5,14,0,14
44,0.6291338828476992,0.45942417599938135,0.15198868242177097,0.20513529127294367,0.06114870930711428,0.0,0.635,0.7005245535714286,0.4818272392193475,0.0012805081443564798,0.0036058397963643074,0.9885002374649048,0.2044890969991684,0.38013583421707153,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9750582298136646,0.07916666666666666,0.0,0.5,14,0,14
45,0.6283545575358651,0.45879715139215643,0.1527652002193711,0.20394141497937116,0.060325186868960205,0.0,0.63,0.6994642857142858,0.48546015228429074,0.0012660445230942446,0.003465148387476802,0.9887815117835999,0.2035047709941864,0.3811819851398468,0.9208333333333333,0.9302325581395349,0.7142857142857143,0.8080808080808081,0.9749611801242235,0.07916666666666666,0.0,0.5,14,0,14
46,0.6272046146067706,0.457781019987482,0.15352832277615866,0.2028872612299341,0.05952149087732488,0.0,0.6316666666666667,0.702466517857143,0.48207260705395044,0.0012999465495037537,0.0033087299671024084,0.9890402555465698,0.2021608054637909,0.382480651140213,0.9166666666666666,0.95,0.6785714285714286,0.7916666666666666,0.9752523291925466,0.08333333333333333,0.0,0.6666666666666666,17,0,17
47,0.6245305623972055,0.4552683279369817,0.15437142392902664,0.20162767713720148,0.05862782777033069,0.0,0.635,0.7005357142857143,0.4840526517690498,0.0012584834670027096,0.003108876757323742,0.989448070526123,0.20116974413394928,0.3835473954677582,0.9166666666666666,0.95,0.6785714285714286,0.7916666666666666,0.9751552795031057,0.08333333333333333,0.0,0.6666666666666666,17,0,17
48,0.6268753671284878,0.4577311408339125,0.1549692260044994,0.20060387095718674,0.058007691676417984,0.0,0.635,0.7021986607142857,0.48221330179904653,0.0012955128508055527,0.0030010766349732876,0.9897492527961731,0.19998255372047424,0.38443195819854736,0.9166666666666666,0.95,0.6785714285714286,0.7916666666666666,0.9754464285714286,0.08333333333333333,0.0,0.6666666666666666,17,0,17
49,0.6205527073506153,0.45152990294225287,0.15564685360048758,0.19951743813175143,0.05731181094818043,0.0,0.6366666666666667,0.7009933035714284,0.4819117879725125,0.0012450054725349853,0.0028507430106401443,0.9900240302085876,0.19897304475307465,0.38544633984565735,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9752523291925466,0.0875,0.0,0.6666666666666666,18,0,18
50,0.6186862605990786,0.44978167793967505,0.15633157821315707,0.19862390964320212,0.05658583077743198,0.0,0.6333333333333333,0.700390625,0.4855250307459173,0.0012511967180409665,0.0027703463565558195,0.9903208613395691,0.19797688722610474,0.3865463137626648,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9752523291925466,0.0875,0.0,0.6666666666666666,18,0,18
51,0.6193954655618379,0.4506270641630346,0.1570347868131869,0.19742561131715775,0.05585926567966288,0.0,0.6383333333333333,0.7023995535714285,0.48416685991699776,0.0012980270672194433,0.0026696736458688974,0.9906912446022034,0.19698257744312286,0.3871511220932007,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9754464285714286,0.0875,0.0,0.6666666666666666,18,0,18
52,0.6188481612638994,0.4501877860589461,0.1576115997000174,0.19647390553445526,0.055264097271543564,0.0,0.6283333333333333,0.6999776785714286,0.4843462579040686,0.0012830571327922921,0.0025413334369659424,0.9909370541572571,0.1958923041820526,0.38806846737861633,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9753493788819876,0.0875,0.0,0.6666666666666666,18,0,18
53,0.6221221522851423,0.4535688961094076,0.15816716240210968,0.1954538022929972,0.054701240959041046,0.0,0.64,0.6998995535714286,0.4834698312025557,0.001266787024426528,0.002431206637993455,0.9910849928855896,0.19504180550575256,0.38867515325546265,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9753493788819876,0.0875,0.0,0.6666666666666666,18,0,18
54,0.6178024975639401,0.4493651670036894,0.158791144463149,0.1946036038976727,0.05403310664449677,0.0,0.6383333333333333,0.6974330357142857,0.48505385207192253,0.0013042262042731497,0.002361572114750743,0.9912940859794617,0.1941242218017578,0.3895662724971771,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9752523291925466,0.0875,0.0,0.6666666666666666,18,0,18
55,0.6128750994349971,0.4445368110230475,0.15937123289614014,0.1936586205706452,0.0534465243531899,0.0,0.6383333333333333,0.70359375,0.48141143012276255,0.0012330002826991295,0.002254117513075471,0.9916218519210815,0.1931879222393036,0.390223890542984,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9749611801242236,0.0875,0.0,0.6666666666666666,18,0,18
56,0.6098228367892179,0.4415795635996443,0.15985007561517484,0.19276836401585376,0.05295912379568273,0.0,0.6383333333333333,0.7005691964285714,0.48432851681977307,0.0012116879436441443,0.002164748264476657,0.9917818307876587,0.19240443408489227,0.39085790514945984,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9746700310559006,0.0875,0.0,0.6666666666666666,18,0,18
57,0.6123775970755201,0.4442220176711227,0.16037292417251703,0.1919529176119602,0.052427492302024,0.0,0.64,0.6986830357142857,0.4852396879149675,0.0013283881496384063,0.0020747107919305563,0.9919736385345459,0.19152306020259857,0.3916325867176056,0.9125,0.9487179487179487,0.6607142857142857,0.7789473684210526,0.9739906832298136,0.0875,0.0,0.6666666666666666,18,0,18
58,0.6067798679525201,0.43872051482850855,0.16091917206843695,0.19114739199479422,0.051858842711557045,0.0,0.6316666666666667,0.6997879464285716,0.48521805398845785,0.0012639095445840874,0.002009202027693391,0.992233395576477,0.19072678685188293,0.3922528028488159,0.9083333333333333,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.9742818322981366,0.09166666666666666,0.0,0.6666666666666666,19,0,19
59,0.6046471139698317,0.4366647718530713,0.16134780035777527,0.19022401986700116,0.05145212262868881,0.0,0.6366666666666667,0.7013281250000001,0.48313354027392774,0.001232483276081356,0.001920392387546599,0.9922294020652771,0.1898219734430313,0.3928745687007904,0.9083333333333333,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.9742818322981366,0.09166666666666666,0.0,0.6666666666666666,19,0,19
60,0.6093008251804294,0.44140997890270117,0.16185461549144803,0.18939276987856085,0.05093334355589115,0.0,0.6383333333333333,0.7000669642857142,0.48510935415911294,0.0012576715062922713,0.0018195377197116613,0.9924483299255371,0.18908809125423431,0.3934893012046814,0.9083333333333333,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.9742818322981366,0.09166666666666666,0.0,0.6666666666666666,19,0,19
61,0.6072686594544034,0.43944343743902264,0.16219764857581168,0.1887694974288796,0.05058559397179069,0.0,0.6366666666666667,0.6981026785714286,0.4841460598999193,0.001277528802871309,0.0017634561518207192,0.9926033616065979,0.18834362924098969,0.3939787447452545,0.9083333333333333,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.9743788819875776,0.09166666666666666,0.0,0.6666666666666666,19,0,19
62,0.6024243226557067,0.4346908358010379,0.1627137730970527,0.18793549343492044,0.050057570986223945,0.0,0.6333333333333333,0.7018973214285715,0.4839726953653628,0.0012052126941412237,0.0016866085352376103,0.9927672147750854,0.18744343519210815,0.39455267786979675,0.9083333333333333,0.9473684210526315,0.6428571428571429,0.7659574468085106,0.9743788819875776,0.09166666666666666,0.0,0.6666666666666666,19,0,19
