epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.8924351868958309,0.7297213067268503,0.0015710116422269493,0.446271726797367,0.24460327368358087,0.0,0.5564267046804466,0.6188150283795546,0.49532738348473737,0.00023991988112764625,0.3737359046936035,0.5496623516082764,0.4122902750968933,0.06816431134939194,0.7181818181818181,1.0,0.07462686567164178,0.1388888888888889,1.0,0.2818181818181818,,,62,0,62
2,0.8344716450263714,0.6874808175810452,0.010377332062364138,0.38240020490925886,0.23330638146605984,0.0,0.5564267046804466,0.7472804260889732,0.4894476835384175,0.00025974324219940425,0.2933421730995178,0.6507341861724854,0.35373860597610474,0.1287185251712799,0.7227272727272728,1.0,0.08955223880597014,0.1643835616438356,0.9874158618671349,0.2772727272727273,,,61,0,61
3,0.7681167649811712,0.6346920338170282,0.024937873192388434,0.3355028531674681,0.2169242103038163,0.0,0.7502969826562129,0.8321369582807511,0.4262252434135143,0.00036770876312371473,0.20586982369422913,0.7611191868782043,0.3242468535900116,0.1679617315530777,0.7272727272727273,0.7333333333333333,0.16417910447761194,0.2682926829268293,0.7893864013266998,0.2727272727272727,,,60,4,56
4,0.6261801082512428,0.50091318580611,0.03846670333938352,0.31290358767427245,0.20254290360828925,0.0,0.7467331907816583,0.8388273313704655,0.40455562899098507,0.00047283888902868433,0.15747815370559692,0.8001547455787659,0.2982361912727356,0.19616955518722534,0.7318181818181818,0.75,0.1791044776119403,0.2891566265060241,0.7295873573309922,0.2681818181818182,,,59,4,55
5,0.5821545494013819,0.4657951644782362,0.050127442540793585,0.28509230346515263,0.18944850718152934,0.0,0.7459016393442623,0.8370031519624637,0.4061185696350207,0.000594408388835667,0.13894790410995483,0.8048754930496216,0.2716981768608093,0.22215542197227478,0.7454545454545455,0.8666666666666667,0.19402985074626866,0.3170731707317073,0.736318407960199,0.2545454545454545,,,56,2,54
6,0.562394249028173,0.4544503437034015,0.062362560745457124,0.26032028013262254,0.17587239886152334,0.0,0.7469707769066286,0.8364730221561327,0.4062040230037246,0.0006470964887331979,0.11486483365297318,0.8009684085845947,0.24924808740615845,0.24379022419452667,0.7454545454545455,0.8666666666666667,0.19402985074626866,0.3170731707317073,0.7365135108769876,0.2545454545454545,,,56,2,54
7,0.5478507270073069,0.44715930829788075,0.073665088106846,0.23981455148294054,0.16348417694198675,0.0,0.7436445711570444,0.836165104331284,0.4074946254995396,0.0006582010512296431,0.09117530286312103,0.7952770590782166,0.23078155517578125,0.2618253529071808,0.7545454545454545,1.0,0.19402985074626866,0.325,0.7266608135791631,0.24545454545454545,,,54,0,54
8,0.5412426128469664,0.4465486725856518,0.08346460335727396,0.2234862482753293,0.15274484147285594,0.0,0.7454264670943217,0.8366431759852571,0.4063435498055292,0.0006893623503856361,0.07417109608650208,0.7982736229896545,0.21616603434085846,0.2764231562614441,0.759090909090909,1.0,0.208955223880597,0.345679012345679,0.7228563067017851,0.2409090909090909,,,53,0,53
9,0.5312136596646803,0.44150785844901513,0.09197051437764332,0.2103856090327789,0.14343385989296026,0.0,0.7455452601568069,0.8368389157816305,0.40648152909347496,0.0007049225753470292,0.061482056975364685,0.8036795854568481,0.20425890386104584,0.28928667306900024,0.7636363636363637,1.0,0.22388059701492538,0.36585365853658536,0.7181738366988587,0.23636363636363636,,,52,0,52
10,0.5229829380224491,0.4375603784774912,0.09950355928519676,0.19950579235265994,0.1351540769482481,0.0,0.7467331907816583,0.8356760835985889,0.4059336195710413,0.0007321438501219683,0.05181607976555824,0.8055331707000732,0.1948317438364029,0.2999880909919739,0.7681818181818182,1.0,0.23880597014925373,0.3855421686746988,0.7189542483660131,0.2318181818181818,,,51,0,51
