mode,lambda_q,lambda_sparse,lambda_binary,lambda_coverage,valid_acc,valid_auc,valid_f1,valid_rmse,valid_bce,test_acc,test_auc,test_f1,test_rmse,test_bce,optimistic_acc,optimistic_auc,optimistic_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,q_change_from_expert,q_change_0_to_1,q_change_1_to_0,q_density,best_epoch,status,result_dir,metrics_path
lq_0p05_ls_0p1_lb_0p5,0.05,0.1,0.5,0.0,0.7498218104062723,0.8379615251088962,0.7253521126760564,0.4055500568635978,0.49067745262485624,0.740199572344975,0.8304286728898448,0.7049379384781436,0.4088868918713992,0.49553833927881835,0.7498218104062723,0.8379615251088962,0.4055500568635978,0.7681818181818182,0.75,0.3582089552238806,0.48484848484848486,0.7418788410886743,0.2318181818181818,51,8,43,0.14545454545454545,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p1_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p1_lb_0p5\metrics.json
lq_0p05_ls_0p1_lb_0p8,0.05,0.1,0.8,0.0,0.7475647422190544,0.8394231842368028,0.7377514500802173,0.4019731170690811,0.47969563750569016,0.7410311237823711,0.8342746052088537,0.7234906139015728,0.40394669259068794,0.4817077051964007,0.7475647422190544,0.8394231842368028,0.4019731170690811,0.7727272727272727,1.0,0.2537313432835821,0.40476190476190477,0.8049946346697884,0.22727272727272727,50,0,50,0.07727272727272727,5,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p1_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p1_lb_0p8\metrics.json
lq_0p05_ls_0p2_lb_0p3,0.05,0.2,0.3,0.0,0.7467331907816583,0.8388273313704655,0.7250451379932937,0.40455562899098507,0.48796255860624094,0.7401401758137325,0.8324120163060331,0.7085470654853108,0.4067411308993691,0.490528514712867,0.7467331907816583,0.8388273313704655,0.40455562899098507,0.7318181818181818,0.75,0.1791044776119403,0.2891566265060241,0.7295873573309922,0.2681818181818182,59,4,55,0.07272727272727272,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p2_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p2_lb_0p3\metrics.json
lq_0p05_ls_0p2_lb_0p5,0.05,0.2,0.5,0.0,0.750415775718698,0.8397184377225551,0.7323907782448096,0.4038657900180942,0.48845127941171634,0.742575433594678,0.8342939799462874,0.714755824667632,0.4051652741815795,0.4891846137183997,0.750415775718698,0.8397184377225551,0.4038657900180942,0.75,0.9285714285714286,0.19402985074626866,0.32098765432098764,0.7466588625499951,0.25,55,1,54,0.06363636363636363,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p2_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p2_lb_0p5\metrics.json
lq_0p05_ls_0p2_lb_0p8,0.05,0.2,0.8,0.0,0.7502969826562129,0.8398908213901659,0.7381011711936207,0.40421624811761464,0.490754265246161,0.7444167260631979,0.8342441096754276,0.7235464182460649,0.4053953537689535,0.49151594586611813,0.7502969826562129,0.8398908213901659,0.40421624811761464,0.740909090909091,0.8125,0.19402985074626866,0.3132530120481928,0.8446005267778754,0.2590909090909091,57,3,54,0.07272727272727272,3,success,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p2_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p05_ls_0p2_lb_0p8\metrics.json
lq_0p1_ls_0_lb_0p3,0.1,0.0,0.3,0.0,0.7463768115942029,0.835247983196852,0.7220414008592632,0.4074258668369891,0.4915591937862554,0.7381800902827275,0.8262990663961781,0.7028448159633275,0.41226323738923865,0.49929503534388053,0.7463768115942029,0.835247983196852,0.4074258668369891,0.6909090909090909,0.4954128440366973,0.8059701492537313,0.6136363636363636,0.8515266803238709,0.3090909090909091,68,55,13,0.4954545454545455,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0_lb_0p3\metrics.json
lq_0p1_ls_0_lb_0p5,0.1,0.0,0.5,0.0,0.7460204324067474,0.8336742032158159,0.7197903014416775,0.40831580890479824,0.4939556832520567,0.7366951770016631,0.8243075340302134,0.7000067672734656,0.41350498670126923,0.5021580167094064,0.7460204324067474,0.8336742032158159,0.40831580890479824,0.7227272727272728,0.53,0.7910447761194029,0.6347305389221557,0.866354501999805,0.2772727272727273,61,47,14,0.45454545454545453,9,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0_lb_0p5\metrics.json
lq_0p1_ls_0_lb_0p8,0.1,0.0,0.8,0.0,0.7466143977191732,0.8365510093278148,0.7224463240078074,0.4059863541207192,0.49506397283909603,0.7399025896887622,0.828956510581914,0.705375765323286,0.4091145487009698,0.4999059069977264,0.7466143977191732,0.8365510093278148,0.4059863541207192,0.95,0.9,0.9402985074626866,0.9197080291970803,0.9941469124963419,0.05,11,7,4,0.3181818181818182,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0_lb_0p8\metrics.json
lq_0p1_ls_0p01_lb_0p3,0.1,0.01,0.3,0.0,0.7492278450938465,0.8382920557830119,0.7381218211140057,0.40671423969379367,0.49642837476387364,0.7426942266571632,0.832533348523089,0.7233009708737864,0.4072392191039447,0.4958821656286839,0.7492278450938465,0.8382920557830119,0.40671423969379367,0.8,0.6419753086419753,0.7761194029850746,0.7027027027027027,0.9053750853575261,0.2,44,29,15,0.36818181818181817,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p01_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p01_lb_0p3\metrics.json
lq_0p1_ls_0p01_lb_0p5,0.1,0.01,0.5,0.0,0.7463768115942029,0.8334748899603295,0.7197794986218664,0.4090006253866712,0.49514901947520534,0.7352102637205987,0.8238374348754632,0.6978036876355749,0.41447921553256095,0.5036684474497216,0.7463768115942029,0.8334748899603295,0.4090006253866712,0.6636363636363637,0.46601941747572817,0.7164179104477612,0.5647058823529412,0.8098722075895035,0.33636363636363636,74,55,19,0.4681818181818182,8,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p01_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p01_lb_0p5\metrics.json
