lambda_q,lambda_sparse,lambda_binary,lambda_coverage,response_acc,response_auc,response_rmse,valid_acc,valid_auc,valid_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,status,result_dir,metrics_path
0.05,0.1,0.05,0.0,0.6316666666666667,0.6836472602739725,0.4813347847764613,0.6266666666666667,0.6801227678571429,0.4889147705902918,0.8708333333333333,0.8787878787878788,0.5178571428571429,0.651685393258427,0.8957686335403726,0.12916666666666668,0.0,0.8333333333333334,27,3,24,0.5221841642350862,0.49092894115231256,0.1364725674643661,0.20249927698662787,0.08363333265438225,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p05,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p05\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p05\metrics.json
0.05,0.1,0.1,0.0,0.63,0.6825881738124888,0.4833423140048495,0.6283333333333333,0.6811049107142858,0.4902233977121749,0.8708333333333333,0.8571428571428571,0.5357142857142857,0.6593406593406593,0.9018827639751553,0.12916666666666668,0.0,0.6666666666666666,27,3,24,0.5146521207961169,0.4806905763618874,0.14364524434010187,0.19237172919692416,0.07542105877038205,0.0,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p1,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p1\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p1\metrics.json
0.05,0.1,0.2,0.0,0.6241666666666666,0.6814484744707348,0.48581227375399144,0.6333333333333333,0.6809040178571428,0.49119558105168604,0.8708333333333333,0.8571428571428571,0.5357142857142857,0.6593406593406593,0.9045031055900621,0.12916666666666668,0.0,0.6666666666666666,28,2,26,0.5041934992327834,0.46606846740751556,0.15246634930372238,0.173411552427393,0.06580279451428038,0.0024407947414808655,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p2,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p2\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p2\metrics.json
0.05,0.1,0.3,0.0,0.6216666666666667,0.6821044965308664,0.48666921625304815,0.6316666666666667,0.6798214285714286,0.49158774963572455,0.8583333333333333,0.9230769230769231,0.42857142857142855,0.5853658536585366,0.8941187888198758,0.14166666666666666,0.0,0.8333333333333334,31,1,30,0.49957705266547925,0.4583545629725312,0.15892260295875144,0.15408152138644998,0.059560669642506225,0.012556484081979954,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p3,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p3\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p3\metrics.json
0.05,0.1,0.4,0.0,0.6183333333333333,0.6777625200142323,0.48766636185535434,0.6316666666666667,0.6871875000000001,0.49008796280212,0.8416666666666667,0.9090909090909091,0.35714285714285715,0.5128205128205128,0.8622864906832298,0.15833333333333333,0.0,0.8333333333333334,36,1,35,0.4979464506561106,0.4553023554158933,0.165819760073315,0.12881884362661478,0.05367806655439464,0.04300993714820255,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p4,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p4\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p4\metrics.json
0.05,0.1,0.5,0.0,0.6433333333333333,0.696086661626045,0.47044601840182454,0.62,0.683091517857143,0.4781848775438342,0.8041666666666667,0.9090909090909091,0.17857142857142858,0.29850746268656714,0.7780473602484472,0.19583333333333333,0.0,0.8333333333333334,44,0,44,0.6033922664143823,0.5528116181041255,0.16106146438555283,0.11353736991683643,0.062347668702855255,0.13869777886253415,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p5,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p5\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p5\metrics.json
0.05,0.1,0.6,0.0,0.6483333333333333,0.6949386230208147,0.47059579955557124,0.6116666666666667,0.6751785714285714,0.47902229051178846,0.8083333333333333,0.9166666666666666,0.19642857142857142,0.3235294117647059,0.7456327639751553,0.19166666666666668,0.0,0.8333333333333334,45,0,45,0.6089664277705279,0.5581467621254198,0.17053684163274188,0.1045910676546169,0.05305619328988321,0.20332760747635004,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p6,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p6\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p6\metrics.json
0.05,0.1,0.7,0.0,0.64,0.6949469622842911,0.4708570766120407,0.6116666666666667,0.6760825892857143,0.4773387064795043,0.8125,0.9230769230769231,0.21428571428571427,0.34782608695652173,0.7245729813664596,0.1875,0.0,0.8333333333333334,44,0,44,0.6065046724044916,0.5563951961018823,0.17810078032992102,0.10002707046541301,0.04457390754286087,0.2383522761590553,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p7,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p7\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p7\metrics.json
0.05,0.1,0.8,0.0,0.6266666666666667,0.6814123376623377,0.48387352570554165,0.635,0.6868526785714286,0.481532262650324,0.8333333333333334,0.9444444444444444,0.30357142857142855,0.4594594594594595,0.8215256211180123,0.16666666666666666,0.0,0.8333333333333334,37,0,37,0.5422865906448076,0.49694890235409594,0.18762962091149707,0.10766703658031695,0.031486883985273766,0.2086639998085571,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p8,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p8\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p8\metrics.json
0.05,0.1,0.9,0.0,0.6116666666666667,0.6732509784735812,0.48981104461221386,0.63,0.6815848214285714,0.4887100980417194,0.85,0.9166666666666666,0.39285714285714285,0.55,0.858792701863354,0.15,0.0,0.6666666666666666,34,0,34,0.5181724799401832,0.4705453790498502,0.18800884011116895,0.11923338755062132,0.029225909941349968,0.14826721291650424,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p9,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p1_lb_0p9\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p1_lb_0p9\metrics.json
