epoch,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,valid_acc,valid_auc,valid_rmse,q_logits_grad_abs_mean,q_soft_min,q_soft_max,q_soft_mean,q_soft_delta_from_init,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0
1,0.924294139399673,0.7256545930197744,0.002031748533600862,0.4347193868774356,0.2434543560851704,0.0,0.5066666666666667,0.5879352678571429,0.4997465837337809,0.0003937492671838933,0.3693956434726715,0.47455382347106934,0.39585888385772705,0.07789111137390137,0.7666666666666667,0.0,0.0,0.0,0.9507958074534161,0.23333333333333334,0.0,1.0,57,0,57
2,0.876021222634749,0.7058253315362063,0.012929340626931551,0.3617895742257436,0.22894188919753738,0.0,0.5383333333333333,0.5959709821428572,0.49924808146613514,0.00034269942305841005,0.2981683611869812,0.4113321602344513,0.32894453406333923,0.14480546116828918,0.7666666666666667,0.0,0.0,0.0,0.953319099378882,0.23333333333333334,0.0,1.0,57,0,57
3,0.8469847892269944,0.6996446802760615,0.030192949470471252,0.3010403789354093,0.20885367533474258,0.0,0.5833333333333334,0.6116964285714286,0.49831335338253774,0.00030420318900282973,0.2380683273077011,0.36292150616645813,0.2743169367313385,0.19943304359912872,0.7666666666666667,0.0,0.0,0.0,0.9473990683229813,0.23333333333333334,0.0,1.0,57,0,57
4,0.8222440851457191,0.692857459639058,0.049707904853152504,0.25182644684206357,0.18714467774737964,0.0,0.6,0.6353013392857143,0.4972803611314096,0.0002736767364143761,0.18919213116168976,0.3267434239387512,0.23090766370296478,0.24284234642982483,0.7666666666666667,0.0,0.0,0.0,0.9430318322981366,0.23333333333333334,0.0,1.0,57,0,57
5,0.8074856048280542,0.6914288220983563,0.06798523116969701,0.21433904428373685,0.16724114774754553,0.0,0.5816666666666667,0.6570870535714286,0.49458518671141355,0.00026956245644462547,0.1497085839509964,0.3103569746017456,0.19874964654445648,0.2750003933906555,0.7666666666666667,0.0,0.0,0.0,0.9203222049689441,0.23333333333333334,0.0,1.0,57,0,57
6,0.7897200566349607,0.6830406965631427,0.08314687442598921,0.18739520848700494,0.15091896847342,0.0,0.6266666666666667,0.6672767857142857,0.49108558736761415,0.00030073757895451945,0.1183989867568016,0.3221094012260437,0.17710886895656586,0.29664114117622375,0.7666666666666667,0.0,0.0,0.0,0.860248447204969,0.23333333333333334,0.0,1.0,57,0,57
7,0.7669713433944818,0.6662281769694705,0.09408853564298514,0.17000565587571173,0.13923196652621933,0.0016124989293034146,0.62,0.6659040178571428,0.48434204415366383,0.00040193184395320714,0.09334201365709305,0.378237783908844,0.16422249376773834,0.3095274865627289,0.7666666666666667,0.0,0.0,0.0,0.8022127329192547,0.23333333333333334,0.0,1.0,57,0,57
8,0.7491236040086457,0.6517008533983519,0.10101940516721118,0.16009242606885504,0.1318189176646146,0.017893823442246878,0.6233333333333333,0.6665513392857143,0.48021378454319685,0.0006134780441326174,0.07347743213176727,0.425525039434433,0.15608161687850952,0.3176683485507965,0.7666666666666667,0.0,0.0,0.0,0.7889169254658386,0.23333333333333334,0.0,1.0,57,0,57
9,0.7377057536081835,0.6428860489166144,0.10616598334727866,0.1524000818079168,0.12626480130535184,0.03320336499900529,0.6383333333333333,0.6742410714285714,0.4761092105328163,0.0007964826046108184,0.06270163506269455,0.4365668296813965,0.14875227212905884,0.3249977231025696,0.7666666666666667,0.0,0.0,0.0,0.79881599378882,0.23333333333333334,0.0,1.0,57,0,57
10,0.7372343883369908,0.6447539961699283,0.11052588475021449,0.14557245802698712,0.12146230933792664,0.044511597490671906,0.6416666666666667,0.6752566964285714,0.47647967365885247,0.0008936401573009789,0.05727618187665939,0.4353339374065399,0.14341653883457184,0.3303334414958954,0.7666666666666667,0.0,0.0,0.0,0.8134704968944099,0.23333333333333334,0.0,1.0,57,0,57
11,0.732455852356824,0.6414801198424716,0.11335928817138527,0.14118663627992978,0.118292238337524,0.05258293890140273,0.6466666666666666,0.6769419642857143,0.47509020548303293,0.0010384768529823332,0.052678171545267105,0.4373677372932434,0.1389472633600235,0.3348027467727661,0.7666666666666667,0.0,0.0,0.0,0.8242430124223603,0.23333333333333334,0.0,1.0,57,0,57
12,0.7218797631335981,0.6322082001151461,0.11588109137885498,0.13736579047911096,0.1154904134120002,0.05756749054699233,0.65,0.6799497767857143,0.4756053095575583,0.0011367297159846532,0.05120674520730972,0.43946346640586853,0.13602891564369202,0.3377210795879364,0.7666666666666667,0.0,0.0,0.0,0.8357919254658385,0.23333333333333334,0.0,1.0,57,0,57
13,0.7172626500779932,0.628601663943493,0.11778503441900919,0.13444162972948767,0.11327330293980511,0.060905102866165566,0.6466666666666666,0.6811160714285714,0.4735529174202861,0.0011926920922247298,0.04736290127038956,0.439008891582489,0.13311800360679626,0.34063199162483215,0.7666666666666667,0.0,0.0,0.0,0.842682453416149,0.23333333333333334,0.0,1.0,57,0,57
14,0.7161531782511509,0.6281782659617338,0.11924973141514894,0.1324251007401582,0.11154927369771582,0.06114944482617306,0.6366666666666667,0.6805468750000001,0.47498233582739713,0.0013238708012398672,0.04670058190822601,0.4455125331878662,0.13177768886089325,0.34197232127189636,0.7666666666666667,0.0,0.0,0.0,0.8506405279503105,0.23333333333333334,0.0,1.0,57,0,57
15,0.7122570935523871,0.6248031177304008,0.12053737541039784,0.13086484756433603,0.11000562899492004,0.0630955622729027,0.6533333333333333,0.68046875,0.4735084991790852,0.0014146929192286211,0.04691347852349281,0.5050935745239258,0.129943385720253,0.34380659461021423,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.8584045031055901,0.22916666666666666,0.0,1.0,56,0,56
16,0.7127569949988163,0.6257200629422159,0.12169886662652998,0.12960130676175607,0.10856633407599998,0.06312601499711022,0.655,0.6831584821428571,0.47355439525274673,0.0015449586754777665,0.044671785086393356,0.5866085886955261,0.12902429699897766,0.34503263235092163,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.8632569875776398,0.22916666666666666,0.0,1.0,56,0,56
17,0.709193184520259,0.6225661915360075,0.12284524975852533,0.12835006099758725,0.10717917719122136,0.06775065285689903,0.6416666666666667,0.6825669642857143,0.4735923940658631,0.0014980161266232078,0.04333610460162163,0.6510323286056519,0.12786127626895905,0.34673067927360535,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.8689829192546583,0.22916666666666666,0.0,1.0,56,0,56
18,0.7027088268236681,0.6163836365396326,0.12393482356812015,0.12738691925099402,0.10583451119336215,0.072042368126638,0.6533333333333333,0.6838504464285715,0.47347276198464217,0.0015447464856234465,0.042434219270944595,0.717842698097229,0.12677517533302307,0.34837353229522705,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.873641304347826,0.22916666666666666,0.0,1.0,56,0,56
19,0.7014907228224205,0.6156237468574987,0.12537365045511362,0.12594623750809467,0.10413750972260129,0.07774960938276666,0.6533333333333333,0.6841294642857142,0.4742990030043923,0.001659788552911557,0.03863900527358055,0.7615047693252563,0.12553171813488007,0.34998083114624023,0.7708333333333334,1.0,0.017857142857142856,0.03508771929824561,0.874611801242236,0.22916666666666666,0.0,1.0,56,0,56
